title,journal,link,thumb,device
Laptops to turn into physics labs for Plus-Two students,The New Indian Express,http://www.newindianexpress.com/cities/thiruvananthapuram/2019/may/21/thiruvananthapuram-laptops-to-turn-into-physics-labs-for-plus-two-students-1979646.html,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news/17/2019-05-20-1558500765.jpg,ExpEYES17
Making Physics Experiments Easier,"The Hindu, 21 May 2019",https://www.thehindu.com/news/national/kerala/making-physics-experiments-easier/article27190001.ece,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-21-1558426211.jpg,ExpEYES17
"Now, perform physics experiments on laptops",Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/now-perform-physics-experiments-on-laptops/articleshow/69403797.cms,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335801.jpg,ExpEYES
Primary Schools in State to turn High Tech by July,Times of India,https://timesofindia.indiatimes.com/city/thiruvananthapuram/primary-schools-in-state-to-turn-hi-tech-by-july/articleshow/69442784.cms,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-22-1558504382.jpg,ExpEYES17
Hi Tech classrooms,Deepika,https://epaper.deepika.com/c/39564290,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335606.jpg,ExpEYES17
,Mathrubhumi 20/5/19,,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335417.jpg,
ഇനി ഫിസിക്സ് പരീക്ഷണങ്ങൾ ഡിജിറ്റൽ രൂപത്തിൽ(Physics practicals in digital form),Manorama,https://www.manoramaonline.com/education/education-news/2019/05/20/higher-secondary-physics-practical-classes-in-digital-format.html,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335495.jpg,ExpEYES17
ഫിസിക്സ്​ പഠനത്തിന് ഇനി ലാപ്ടോപ് പരീക്ഷണശാല,Madhyamam,https://www.madhyamam.com/career-and-education/edu-news/education-news/611885,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335459.jpg,
Thiruvananthapuram: HS physics experiments on digital mode,Deccan Chronicle,https://www.deccanchronicle.com/nation/current-affairs/200519/thiruvananthapuram-hs-physics-experiments-on-digital-mode.html,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335634.jpg,ExpEYES17
ExpEYES to turn laptops to labs for Physics study in Kerala,UNI India,http://www.uniindia.com/expeyes-to-turn-laptops-to-lab-for-physics-study-in-kerala/south/news/1602424.html,http://www.uniindia.com//images/stripad.png,ExpEYES17
ExpEYES Masters’ Training Programma,ICFOSS,https://icfoss.in/event/expeyes-masters-training-programme,https://icfoss.in/sites/default/files/2016-06/ExpEYES.png,ExpEYES
,,,,
,,,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335564.jpg,
ExpEYES Teacher Training,,,https://kite.kerala.gov.in/KITE/itsadmin/uploads/news_thumb/17/2019-05-20-1558335386.jpg,
Lab on the lap,DownToEarth,https://www.downtoearth.org.in/news/lab-on-the-lap-38667,https://cdn.downtoearth.org.in/dte/userfiles/images/45_20120731.jpg,ExpEYES
Phoenix expEYES Low-cost Platform For PC-interfaced Science Experiments,ElectronicsForU,https://electronicsforu.com/india-corner/innovations-innovators/phoenix-expeyes-low-cost-platform-pc-interfaced-science-experiments-2,https://electronicsforu.com/wp-contents/uploads/2016/03/Phoenix-expEYES.jpg,ExpEYES
